Latitude (decimal degrees):	51.498
Longitude (decimal degrees):	10.811
Elevation (m):	201
Radiation database:	PVGIS-SARAH2


Slope: 45 deg. 
Azimuth: 4 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,0.52,1.86,0.0
20200101:0110,0.0,0.0,0.0,0.0,0.11,1.86,0.0
20200101:0210,0.0,0.0,0.0,0.0,-0.18,1.66,0.0
20200101:0310,0.0,0.0,0.0,0.0,-0.6,1.59,0.0
20200101:0410,0.0,0.0,0.0,0.0,-1.0,1.45,0.0
20200101:0510,0.0,0.0,0.0,0.0,-0.81,1.31,0.0
20200101:0610,0.0,0.0,0.0,0.0,-1.12,1.17,0.0
20200101:0710,0.0,0.0,0.0,0.0,-0.98,1.17,0.0
20200101:0810,45.81,34.31,1.11,4.74,-0.73,1.17,0.0
20200101:0910,102.43,96.67,3.13,10.28,-0.51,0.9,0.0
20200101:1010,101.22,124.7,4.22,13.96,-0.09,0.76,0.0
20200101:1110,126.67,143.76,4.89,15.47,0.5,0.83,0.0
20200101:1210,148.86,142.88,4.8,14.66,1.08,1.03,0.0
20200101:1310,148.09,118.49,3.81,11.62,1.5,1.17,0.0
20200101:1410,119.81,69.3,1.96,6.62,1.24,1.03,0.0
20200101:1510,0.0,0.0,0.0,0.0,0.36,1.1,0.0
20200101:1610,0.0,0.0,0.0,0.0,-1.34,1.17,0.0
20200101:1710,0.0,0.0,0.0,0.0,-2.46,1.38,0.0
20200101:1810,0.0,0.0,0.0,0.0,-3.3,1.45,0.0
20200101:1910,0.0,0.0,0.0,0.0,-3.15,1.45,0.0
20200101:2010,0.0,0.0,0.0,0.0,-3.35,1.52,0.0
20200101:2110,0.0,0.0,0.0,0.0,-3.61,1.66,0.0
20200101:2210,0.0,0.0,0.0,0.0,-3.67,1.86,0.0
20200101:2310,0.0,0.0,0.0,0.0,-3.45,1.86,0.0
20200102:0010,0.0,0.0,0.0,0.0,-3.09,1.79,0.0
20200102:0110,0.0,0.0,0.0,0.0,-2.8,1.59,0.0
20200102:0210,0.0,0.0,0.0,0.0,-2.22,1.31,0.0
20200102:0310,0.0,0.0,0.0,0.0,-1.87,1.17,0.0
20200102:0410,0.0,0.0,0.0,0.0,-1.74,1.03,0.0
20200102:0510,0.0,0.0,0.0,0.0,-2.14,1.1,0.0
20200102:0610,0.0,0.0,0.0,0.0,-2.84,1.24,0.0
20200102:0710,0.0,0.0,0.0,0.0,-3.83,1.59,0.0
20200102:0810,142.89,49.29,1.52,4.77,-3.82,1.72,0.0
20200102:0910,305.76,118.93,4.16,10.33,-1.71,1.72,0.0
20200102:1010,483.72,144.72,6.36,14.02,1.04,2.14,0.0
20200102:1110,633.69,134.35,7.56,15.55,1.91,3.03,0.0
20200102:1210,635.97,126.25,7.18,14.76,2.17,3.17,0.0
20200102:1310,502.77,121.64,5.36,11.73,2.2,3.38,0.0
20200102:1410,331.46,86.36,2.69,6.74,1.52,3.31,0.0
20200102:1510,0.0,0.0,0.0,0.0,0.37,3.24,0.0
20200102:1610,0.0,0.0,0.0,0.0,-0.04,3.1,0.0
20200102:1710,0.0,0.0,0.0,0.0,-0.03,3.03,0.0
20200102:1810,0.0,0.0,0.0,0.0,0.22,2.83,0.0
20200102:1910,0.0,0.0,0.0,0.0,0.29,3.38,0.0
20200102:2010,0.0,0.0,0.0,0.0,0.74,3.45,0.0
20200102:2110,0.0,0.0,0.0,0.0,1.01,3.38,0.0
20200102:2210,0.0,0.0,0.0,0.0,1.35,3.52,0.0
20200102:2310,0.0,0.0,0.0,0.0,1.69,3.66,0.0
20200103:0010,0.0,0.0,0.0,0.0,1.95,3.93,0.0
20200103:0110,0.0,0.0,0.0,0.0,2.37,4.07,0.0
20200103:0210,0.0,0.0,0.0,0.0,2.39,4.0,0.0
20200103:0310,0.0,0.0,0.0,0.0,2.56,4.21,0.0
20200103:0410,0.0,0.0,0.0,0.0,2.64,4.48,0.0
20200103:0510,0.0,0.0,0.0,0.0,2.77,4.34,0.0
20200103:0610,0.0,0.0,0.0,0.0,2.85,4.14,0.0
20200103:0710,0.0,0.0,0.0,0.0,3.46,4.69,0.0
20200103:0810,0.0,17.05,0.59,4.81,3.87,4.97,0.0
